day,startTime,artist,title,slug,form,desc,thumbUrl,url,website,instagram,twitter,facebook,module
1,18:08,Elisavet Koliniati,InsideUs - A VR experience,insideus-a-vr-experience,Video of the work + Q&A,,,,,,,,
1,18:16,Nathan Adams,orbiðvēl -V,orbidvel-v,Talk / Demo + Q&A,,,,,,,,
1,18:30,Jingyi Chen,The heart of the cosmos,the-heart-of-the-cosmos,Video of the work + Q&A,,,,,,,,
1,18:38,Keir Clyne,_dampMap,_dampmap,Talk / Demo + Q&A,,,,,,,,
1,18:46,Jonathan Fuller-Rowell,How long is now?,how-long-is-now,Talk / Demo + Q&A,,,,,,,,
1,19:00,Anna Alfut,Data characters,data-characters,Talk / Demo + Q&A,,,,,,,,
1,19:08,Yanyi Lu,The Obscure: Mourning The lost Art Pyrophonic,the-obscure-mourning-the-lost-art-pyrophonic,Video of the work + Q&A,,,,,,,,
1,19:16,Jingyi Chen,CyKink,cykink,Video of the work + Q&A,,,,,,,,
1,19:30,Romain Biros,Work In Progress,work-in-progress,Video of the work + Q&A,,,,,,,,
1,19:38,Owen Planchart,Pyrophonic,pyrophonic,Video of the work + Q&A,,,,,,,,
1,19:46,Hazel Ryan,The Middle Ground,the-middle-ground,Talk / Demo + Q&A,,,,,,,,
1,20:00,Yuwen Huang,Time and noise,time-and-noise,Video of the work + Q&A,,,,,,,,
1,20:08,David R. Mincer,Laughing in the Face of Death,laughing-in-the-face-of-death,Video of the work + Q&A,"In a world under lockdown, how is a young comedian supposed to get a break? Join David R. Mincer in the weird virtual world of his mind as he tries to put on a good show, all while fighting with his own existential struggles.",https://imgur.com/SxiXn4g,https://davidrmincer.itch.io/,https://davidrmincer.wordpress.com/,@davidrmincer,@davidrmincer,,
1,20:16,Yishuai Zhang,"""between""",between,Performance,"“Between” is a technoetic live performance that seeks to explore consciousness and connectivity through digital, telematic technologies. The performance combines modern techno dance movements with a traditional form of Chinese Taijiquan, presented through two sets of visualisation.",https://imgur.com/a/NcX6dJQ,http://zhangyishuai.com/between.html,http://zhangyishuai.com,daven_zhang,@ai_yishu,Daven Zhang,
1,18:08,Eleanor Edwards,doNOTtouch,donottouch,Talk / Demo + Q&A,,,,,,,,
1,18:16,Hazel Ryan,Boundry,boundry,Talk / Demo + Q&A,,,,,,,,
1,18:30,Owen Planchard,The Unbearable Lightness of Mixed Signals,the-unbearable-lightness-of-mixed-signals,Video of the work + Q&A,,,,,,,,
1,18:38,Camila Colussi,The future,the-future,Video of the work + Q&A,"What is democracy?

What does it mean to be governed?

What does it mean to resist?

The piece is a digital writing platform that activates a light installation while typing.  Work-in-progress.
​",https://imgur.com/dYlxhcH,https://www.camilacolussi.com/notenough,https://www.camilacolussi.com,@camilacolussi,,,
1,18:46,Robert Hillson,The Cruel Sea,the-cruel-sea,Video of the work + Q&A,,,,,,,,
1,19:00,Yu Liao,I cannot recognise,i-cannot-recognise,Video of the work + Q&A,,,,,,,,
1,19:08,Christina Newth,Computational Spinning Wheel,computational-spinning-wheel,Talk / Demo + Q&A,,,,,,,,
1,19:16,Jonny Fuller-Rowell,Performing Objects,performing-objects,Live performance,"This project finds ways to consciously interact with technological objects, becoming performers of the space rather than just the context to it. A ESP32 feather board and an orientation sensor attached to my wrist send data via OSC to a MAX MSP program, controlling the sounds of objects.",https://imgur.com/dT4Iqt6,http://doc.gold.ac.uk/compartsblog/index.php/work/background-relations/,,,,,
1,19:30,Katie Tindle,The Yellow wallpaper,the-yellow-wallpaper,Talk / Demo + Q&A,,,,,,,,
1,19:38,Felix Loftus,"my Bitrot, Gut Weed Breath",my-bitrot-gut-weed-breath,Talk / Demo + Q&A,,,,,,,,
1,19:46,Mattia Spagnuolo,#andratuttobene,#andratuttobene,Talk / Demo + Q&A,"#andratuttobene is an interactive installation that conveys the solidarity and positivity of the Italian people in response to the COVID-19 pandemic.
The work consists of an ever-fluctuating Italian flag whose revolutions can be controlled through gyroscope data sent as OSC messages over Wi-Fi.",https://imgur.com/8iuSeut,https://www.mattiaspagnuolo.com/works/andratuttobene,https://www.mattiaspagnuolo.com/,@mattia_spagnuolo,,,
1,20:00,Mengdi Li,"Cough, No Free",cough-no-free,Video of the work + Q&A,,,,,,,,
1,20:08,Veera Jussila,Postcards from Lost Cities,postcards-from-lost-cities,Talk / Demo + Q&A,,,,,,,,
1,20:16,Marcus Ansley,The Best Days,the-best-days,Video of the work + Q&A,,,,,,,,
1,20:24,Clemence Debaig,STRINGS,strings,Performance,"In this live-streamed performance, the audience has to collectively decide how the dancer should move through a web interface. The dancer is wearing electronic devices that react to their actions. Each instruction acts as invisible strings to (re)animate a living and dancing body.",https://imgur.com/a/xJs0kgt,,http://www.clemencedebaig.com/,@demzou_art,@clemencedebaig,/demzouart,
1,18:00,Theo Papatheodorou,Introduction to Computational Arts MA,introduction-to-computational-arts-ma,Talk,,,,,,,,
1,18:08,Julian Burgess,Sonicode,sonicode,Video of the work + Q&A,,,,,,,,
1,18:16,Oliver Schilke,Reciprocal,reciprocal,Video of the work + Q&A,,,,,,,,
1,18:30,Lou Terry,Interactive Instrument,interactive-instrument,Video of the work + Q&A,"This is a sonic installation that responds to sounds in a room, and can be played and performed with as a semi-controllable, semi-uncontrollable instrument.",https://imgur.com/a/CjMKhqm,http://doc.gold.ac.uk/compartsblog/index.php/work/interactive-instrument/,,,,,
1,18:38,Romain Biros,"Murmur, Swoosh, Retch",murmur-swoosh-retch,Video of the work + Q&A,,,,,,,,
1,18:46,Yewen Jin,Sound of Poetry,sound-of-poetry,Video of the work + Q&A,,,,,,,,
1,19:00,Julian Burgess,JESTLED,jestled,Talk / Demo + Q&A,,,,,,,,
1,19:08,Yuhyeon Jun,Light up the Balls,light-up-the-balls,Talk / Demo + Q&A,,,,,,,,
1,19:16,Seyeon Park,Visible Music,visible-music,Performance,,,,,,,,
1,19:30,Ernie Lafky,Jeff in a Jar,jeff-in-a-jar,Performance,,,,,,,,
2,14:08,Duncan Paterson,CrowMisoMoon,crowmisomoon,Video of the work + Q&A,,,,,,,,
2,14:16,Ernie Lefky,Jeff in a Jar,jeff-in-a-jar,performance,,,,,,,,
2,14:30,Lou Terry,Feral Robotic Birds,feral-robotic-birds,video,"Birdsong adapts and responds to sonic changes in the environment.  Using nightingale songs as a start-point, Feral Robotic Birds speculate the future of birdsong by listening to their environments, and slowly incorporating the sonic history of those environments into their ever-changing songs.",https://imgur.com/a/NXExU0e,http://doc.gold.ac.uk/compartsblog/index.php/work/feral-robotic-birds/,,,,,
2,14:38,Yewen Jin,Sound Poetry,sound-poetry,video,,,,,,,,
2,14:46,Seyeon Park,Visable Music,visable-music,Performance,,,,,,,,
2,15:00,James Lawton,Public Opinion,public-opinion,Video of the work + Q&A,,,,,,,,
2,15:08,Julian Burgess,Sonicode,sonicode,Video,,,,,,,,
2,15:16,Kristine Hillquis,Everything Glitched,everything-glitched,talk demo,,,,,,,,
2,15:30,Romain Biros,"Murmur, Swoosh, Retch",murmur-swoosh-retch,video,,,,,,,,
2,15:38,Felix Lotus,"myBitrot,Gut Weed Breath",mybitrotgut-weed-breath,talk/demo,,,,,,,,
2,15:46,Callum Fowler,a human and a computer,a-human-and-a-computer,performance,"This performance is a human-computer collaboration. The human improvises on an electric guitar, whilst the computer generates a response using MaxMSP, resulting in a sound collage. The piece focuses on aspects of generative audio and human-computer interaction.",https://imgur.com/a/oh8HIMC,,,@motivated_sloth,,,
2,16:00,Hazel Ryan,Boundary,boundary,talk demo,,,,,,,,
2,16:08,Oliver Schilke,Reciprocal,reciprocal,video,,,,,,,,
2,16:16,Chloe Karnezi,Cash Cow,cash-cow,talk demo,,,,,,,,
2,16:24,Christina Karpodini,Oikogolia,oikogolia,performance,,,,,,,,
2,14:08,Jingyi	Chen,The heart of the cosmos,the-heart-of-the-cosmos,Video of the work + Q&A,,,,,,,,
2,14:16,Chloe Karnezi,A Rose is a Rose is a Rose,a-rose-is-a-rose-is-a-rose,talk demo,,,,,,,,
2,14:30,Hazel Ryan,Middle Ground,middle-ground,Talk / Demo + Q&A,,,,,,,,
2,14:38,Karen Okpoti,Symbiosis,symbiosis,Video of the work + Q&A,,,,,,,,
2,14:46,Yanyi Lu,Replica,replica,Video of the work + Q&A,"This artwork will tell a story of my digital plant and I in a cyberpunk way. I raised some questions based on the semiotics of plant and human and started my project with these. Can I keep my dying plants forever? Can I be my plant, and can we be together?",https://imgur.com/a/M7dGlIw,https://yanyilu.wordpress.com/2020/05/14/replica/,https://yanyilu.wordpress.com/,@yanyiiscoding,,,
2,15:00,Jude Marcella,The Snow Globe,the-snow-globe,Talk / Demo + Q&A,,,,,,,,
2,15:08,Jingyi Chen,CyKink,cykink,Video of the work + Q&A,,,,,,,,
2,15:16,Elisavet Koliniati,Inside us,inside-us,Video of the work + Q&A,,,,,,,,
2,15:30,Mattia Spagnuolo,#andratuttobene,#andratuttobene,Talk / Demo + Q&A,"#andratuttobene is an interactive installation that conveys the solidarity and positivity of the Italian people in response to the COVID-19 pandemic.
The work consists of an ever-fluctuating Italian flag whose revolutions can be controlled through gyroscope data sent as OSC messages over Wi-Fi.",https://imgur.com/8iuSeut,https://www.mattiaspagnuolo.com/works/andratuttobene,https://www.mattiaspagnuolo.com/,@mattia_spagnuolo,,,
2,15:38,Yuhyeon	Jun,Wave Scape in Lake,wave-scape-in-lake,Talk / Demo + Q&A,,,,,,,,
2,15:46,Yishuai Zhang,Gcosystem_Transluscence,gcosystem_transluscence,Talk / Demo + Q&A,,,,,,,,
2,16:00,Romain Biros,Work In Progress,work-in-progress,Video of the work + Q&A,,,,,,,,
2,16:08,Chia Yang Chang (Andrew),I am my sex slave / The tree in my memory,i-am-my-sex-slave-the-tree-in-my-memory,Video of the work + Q&A,,,,,,,,
2,14:08,Keir	Clyne,_dampMap,_dampmap,Talk / Demo + Q&A,,,,,,,,
2,14:16,Yanyi Lu,The Obscure: Mourning The Lost Art,the-obscure-mourning-the-lost-art,Video of the work + Q&A,"People are always talking about certain famous paintings that are carefully hung in the museums. However, some same important artworks have vanished forever from human history by some sad reasons. From this moment on, we lost it forever and never feel it without heavily dusty fog.",https://imgur.com/a/6f8Anjk,https://yanyilu.wordpress.com/2020/05/14/the-obscure/,https://yanyilu.wordpress.com/,@yanyiiscoding,,,generative
2,14:30,Anna Alfut,Data Characters,data-characters,Talk / Demo + Q&A,,,,,,,,
2,14:38,Gerolamo Gnecchi Ruscone,For the Tide!,for-the-tide,Talk / Demo + Q&A,This project is a first step to understand the Thames Tide ecosystem and pave new horizons in designing with the Tide.,https://imgur.com/a/qh0wqp9,,,,,,Theory
2,14:46,Mattia Spagnuolo,#iorestoacasa,#iorestoacasa,Talk / Demo + Q&A,#iorestoacasa is a virtual artefact that visualizes data relative to the COVID-19 pandemic in the form of a particle system. The most relevant data about the virus outbreak is mapped to variables that modify the shape and color of the system.,https://imgur.com/1izd17T,https://www.mattiaspagnuolo.com/works/iorestoacasa,https://www.mattiaspagnuolo.com/,@mattia_spagnuolo,,,
2,15:00,Camila Colussi,WordsOfRebellion,wordsofrebellion,Video of the work + Q&A,"Collection and transcription of protest posters that crossed the streets of Chile (2019-20). While being abroad, social networks has been my main access to those images. This proposal is an attempt to build a story mediated by the digital platform as a narrative, sensitive and knowledge source.",https://imgur.com/1lAVRpr,https://www.camilacolussi.com/wordsofrebellion,https://www.camilacolussi.com,@camilacolussi,,,Theory
2,15:08,Alesandra Miro Quesada,my markings,my-markings,Talk / Demo + Q&A,,,,,,,,machine learning
2,15:16,Veera Jussila,Postcards from Lost Cities,postcards-from-lost-cities,Talk / Demo + Q&A,,,,,,,,machine learning
2,15:30,Yuqian Sun,Digital fossil,digital-fossil,Talk / Demo + Q&A,"Digital fossil is a research project about compressing human information in the future, including parts of genotypes and our personal traces on the internet.",https://imgur.com/KqDO9z5,https://fakecheese.cargo.site/Digital-fossil,https://fakecheese.cargo.site/,cheesetalk1997,,,generative
2,15:38,Yasmine Boufiaf,Algerian Gestures,algerian-gestures,Video of the work + Q&A,,,,,,,,
2,15:46,Jakob Jennerholm Hammar,Weaving Drafts at the Edge of the Abyss,weaving-drafts-at-the-edge-of-the-abyss,Talk / Demo + Q&A,"A series of experimental explorations into digital weaving drafts/notation. The project is founded on a series of vague questions about time, nature, relationality and pattern-making which are engaged with through the creation of generative and interactive digital and physical weaving drafts.",https://imgur.com/Z84HQD1,https://jennerholmhammar.info/project/weaving-drafts/,https://jennerholmhammar.info,https://www.instagram.com/knoegle/,,,generative
2,16:00,Katie Tindle,Drips,drips,Talk / Demo + Q&A,,,,,,,,
2,14:30,Robert Hillson,The Cruel Sea,the-cruel-sea,Video of the work + Q&A,,,,,,,,
2,14:38,David R. Mincer,Laughing in the Face of Death,laughing-in-the-face-of-death,Video of the work + Q&A,"In a world under lockdown, how is a young comedian supposed to get a break? Join David R. Mincer in the weird virtual world of his mind as he tries to put on a good show, all while fighting with his own existential struggles.",https://imgur.com/SxiXn4g,https://davidrmincer.itch.io/,https://davidrmincer.wordpress.com/,@davidrmincer,@davidrmincer,,game
2,14:46,Marcus Ansley,The Best Days,the-best-days,Video of the work + Q&A,,,,,,,,game
2,15:00,Owen Planchart,Pyrophonique,pyrophonique,Video of the work + Q&A,,,,,,,,
2,15:08,Clemence Debaig,Is It Getting Better?,is-it-getting-better,Talk / Demo + Q&A,This kinetic sculpture changes its shape depending on the latest COVID19 data in the UK. It automatically interrogates an online data source once per day. Its two states (better / worse) aims at simplifying the understanding of the data and go against the current information overload.,https://imgur.com/a/PAH9xzX,https://www.youtube.com/watch?v=PQAP3vp-uzI,http://www.clemencedebaig.com/,@demzou_art,@clemencedebaig,/demzouart,
2,15:16,Jonny Fuller-Rowell,Performing Objects,performing-objects,Talk / Demo + Q&A,"This project finds ways to consciously interact with technological objects, becoming performers of the space rather than just the context to it. A ESP32 feather board and an orientation sensor attached to my wrist send data via OSC to a MAX MSP program, controlling the sounds of objects.",https://imgur.com/dT4Iqt6,http://doc.gold.ac.uk/compartsblog/index.php/work/background-relations/,,,,,
2,15:30,Julian Burgess,JESTLED,jestled,Talk / Demo + Q&A,,,,,,,,Machine learning
2,15:38,Christina Karpodini,Detuned piano,detuned-piano,Video of the work + Q&A,Detuned piano is an audio&light interactive installation. It is aiming to reflect the impact of the misleading information we find on the Internet and the impact of them on the mental health of people.,https://imgur.com/fFqqtuP,,https://ckarpodini.wixsite.com/christinakarpodini,@christikarp,,,
2,15:46,Verra Jussila,A Magical AI Angle,a-magical-ai-angle,Talk / Demo + Q&A,,,,,,,,
2,16:00,Owen Planchart,The Unbearable Lightness of Mixed Signals,the-unbearable-lightness-of-mixed-signals,Video of the work + Q&A,,,,,,,,
2,16:08,Clemence Debaig,STRINGS,strings,PErformance,"In this live-streamed performance, the audience has to collectively decide how the dancer should move through a web interface. The dancer is wearing electronic devices that react to their actions. Each instruction acts as invisible strings to (re)animate a living and dancing body.",https://imgur.com/a/xJs0kgt,,http://www.clemencedebaig.com/,@demzou_art,@clemencedebaig,/demzouart,
2,14:00,Theo Papatheodorou,Introduction to Computational Arts MA,introduction-to-computational-arts-ma,Talk,,,,,,,,
2,14:08,Nathan Adams,orbiðvēl -V,orbidvel-v,Talk / Demo + Q&A,,,,,,,,
2,14:16,yu liao,I can not recognize,i-can-not-recognize,Video of the work + Q&A,,,,,,,,
2,14:30,Alesandra Miro Quesada,Computing my Latiness,computing-my-latiness,Talk / Demo + Q&A,,,,,,,,
2,14:38,Camila Colussi,The future,the-future,Video of the work + Q&A,"What is democracy?

What does it mean to be governed?

What does it mean to resist?

The piece is a digital writing platform that activates a light installation while typing.  Work-in-progress.
​",https://imgur.com/dYlxhcH,https://www.camilacolussi.com/notenough,https://www.camilacolussi.com,@camilacolussi,,,
2,14:46,Yuwen Huang,Time and noise,time-and-noise,Video of the work + Q&A,,,,,,,,
2,15:00,Jonathan Fuller-Rowell,How Long Is Now,how-long-is-now,Talk / Demo + Q&A,,,,,,,,
2,15:08,Oliver Schilke,Sumbios,sumbios,Video of the work + Q&A,,,,,,,,
2,15:16,Chia Yang Chang (Andrew),Stop projecting your feelings onto others.,stop-projecting-your-feelings-onto-others,Video of the work + Q&A,,,,,,,,
2,15:30,Katie Tindle,The Yellow Wallpaper,the-yellow-wallpaper,Talk / Demo + Q&A,,,,,,,,
2,15:38,Eleanor Edwards,doNOTtouch,donottouch,Talk / Demo + Q&A,,,,,,,,
2,15:46,Mengdi Li,"cough, no fear",cough-no-fear,Video of the work + Q&A,,,,,,,,
2,16:00,Christina Newth,Computational Spinning Wheel,computational-spinning-wheel,Talk / Demo + Q&A,,,,,,,,
2,16:08,Lou Terry,Interactive Instrument,interactive-instrument,Video of the work + Q&A,"This is a sonic installation that responds to sounds in a room, and can be played and performed with as a semi-controllable, semi-uncontrollable instrument.",https://imgur.com/a/CjMKhqm,http://doc.gold.ac.uk/compartsblog/index.php/work/interactive-instrument/,,,,,
2,16:16,Yuhyeon Jun,Light up the Balls,light-up-the-balls,Talk / Demo + Q&A,,,,,,,,
2,16:24,Yishuai Zhang,"""between""",between,performance,"“Between” is a technoetic live performance that seeks to explore consciousness and connectivity through digital, telematic technologies. The performance combines modern techno dance movements with a traditional form of Chinese Taijiquan, presented through two sets of visualisation.",https://imgur.com/a/NcX6dJQ,http://zhangyishuai.com/between.html,http://zhangyishuai.com,daven_zhang,@ai_yishu,Daven Zhang,
